料理名,料理名[読み],エネルギー[100キロカロリー毎],たんぱく質[100キロカロリー毎],脂質[100キロカロリー毎],炭水化物[100キロカロリー毎],g合計
アスパラガス　水煮缶詰,あすぱらがす みずにかんづめ,24.0,2.4,0.1,4.3,0.0
アロエ　葉　生,あろえ は なま,3.0,0.0,0.1,0.7,0.0
いんげんまめ　さやいんげん　若ざや　生,いんげんまめ さやいんげん わかざや なま,23.0,1.8,0.1,5.1,0.0
いんげんまめ　さやいんげん　若ざや　ゆで,いんげんまめ さやいんげん わかざや ゆで,25.0,1.8,0.2,5.5,0.0
（うど類）　うど　茎　生,（うどるい） うど くき なま,19.0,0.8,0.1,4.3,0.0
（うど類）　うど　茎　水さらし,（うどるい） うど くき みずさらし,13.0,0.6,0.0,3.4,0.0
（うど類）　やまうど　茎　生,（うどるい） やまうど くき なま,19.0,1.1,0.1,4.3,0.0
うるい　葉　生,うるい は なま,19.0,1.9,0.4,4.0,0.0
えだまめ　生,えだまめ なま,125.0,11.7,6.2,8.8,0.0
えだまめ　ゆで,えだまめ ゆで,118.0,11.5,6.1,8.9,0.0
えだまめ　冷凍,えだまめ れいとう,143.0,13.0,7.6,10.6,0.0
エンダイブ　葉　生,えんだいぶ は なま,14.0,1.2,0.2,2.9,0.0
（えんどう類）　トウミョウ　茎葉　生,（えんどうるい） とうみょう けいよう なま,28.0,3.8,0.4,4.0,0.0
（えんどう類）　トウミョウ　芽ばえ　生,（えんどうるい） とうみょう めばえ なま,27.0,3.8,0.4,3.2,0.0
（えんどう類）　トウミョウ　芽ばえ　ゆで,（えんどうるい） とうみょう めばえ ゆで,28.0,3.6,0.6,3.8,0.0
（えんどう類）　トウミョウ　芽ばえ　油いため,（えんどうるい） とうみょう めばえ あぶらいため,84.0,5.0,5.9,4.3,0.0
（えんどう類）　さやえんどう　若ざや　生,（えんどうるい） さやえんどう わかざや なま,38.0,3.1,0.2,7.5,0.0
（えんどう類）　さやえんどう　若ざや　ゆで,（えんどうるい） さやえんどう わかざや ゆで,36.0,3.2,0.2,7.0,0.0
（えんどう類）　スナップえんどう　若ざや　生,（えんどうるい） すなっぷえんどう わかざや なま,47.0,2.9,0.1,9.9,0.0
（えんどう類）　グリンピース　生,（えんどうるい） ぐりんぴーす なま,76.0,6.9,0.4,15.3,0.0
（えんどう類）　グリンピース　ゆで,（えんどうるい） ぐりんぴーす ゆで,99.0,8.3,0.2,18.5,0.0
（えんどう類）　グリンピース　冷凍,（えんどうるい） ぐりんぴーす れいとう,80.0,5.8,0.7,17.1,0.0
（えんどう類）　グリンピース　冷凍　ゆで,（えんどうるい） ぐりんぴーす れいとう ゆで,82.0,6.2,0.7,17.8,0.0
（えんどう類）　グリンピース　冷凍　油いため,（えんどうるい） ぐりんぴーす れいとう あぶらいため,114.0,6.3,4.6,18.2,0.0
（えんどう類）　グリンピース　水煮缶詰,（えんどうるい） ぐりんぴーす みずにかんづめ,82.0,3.6,0.4,19.7,0.0
おおさかしろな　葉　生,おおさかしろな は なま,12.0,1.4,0.2,2.2,0.0
おおさかしろな　葉　ゆで,おおさかしろな は ゆで,16.0,1.6,0.3,3.1,0.0
おおさかしろな　塩漬,おおさかしろな しおづけ,19.0,1.3,0.3,4.5,0.0
おかひじき　茎葉　生,おかひじき けいよう なま,16.0,1.4,0.2,3.4,0.0
おかひじき　茎葉　ゆで,おかひじき けいよう ゆで,16.0,1.2,0.1,3.8,0.0
オクラ　果実　生,おくら かじつ なま,26.0,2.1,0.2,6.6,0.0
オクラ　果実　ゆで,おくら かじつ ゆで,29.0,2.1,0.1,7.6,0.0
かぶ　葉　生,かぶ は なま,20.0,2.3,0.1,3.9,0.0
かぶ　葉　ゆで,かぶ は ゆで,20.0,2.3,0.1,4.4,0.0
かぶ　根　皮つき　生,かぶ ね かわつき なま,18.0,0.7,0.1,4.6,0.0
かぶ　根　皮つき　ゆで,かぶ ね かわつき ゆで,18.0,0.7,0.1,4.7,0.0
かぶ　根　皮なし　生,かぶ ね かわなし なま,19.0,0.6,0.1,4.8,0.0
かぶ　根　皮なし　ゆで,かぶ ね かわなし ゆで,20.0,0.6,0.1,5.0,0.0
かぶ　漬物　塩漬　葉,かぶ つけもの しおづけ は,27.0,2.3,0.2,6.0,0.0
かぶ　漬物　塩漬　根　皮つき,かぶ つけもの しおづけ ね かわつき,21.0,1.0,0.2,4.9,0.0
かぶ　漬物　塩漬　根　皮なし,かぶ つけもの しおづけ ね かわなし,19.0,0.8,0.1,4.7,0.0
かぶ　漬物　ぬかみそ漬　葉,かぶ つけもの ぬかみそづけ は,35.0,3.3,0.1,7.1,0.0
かぶ　漬物　ぬかみそ漬　根　皮つき,かぶ つけもの ぬかみそづけ ね かわつき,27.0,1.5,0.1,5.9,0.0
かぶ　漬物　ぬかみそ漬　根　皮なし,かぶ つけもの ぬかみそづけ ね かわなし,31.0,1.4,0.1,6.9,0.0
（かぼちゃ類）　日本かぼちゃ　果実　生,（かぼちゃるい） にほんかぼちゃ かじつ なま,41.0,1.6,0.1,10.9,0.0
（かぼちゃ類）　日本かぼちゃ　果実　ゆで,（かぼちゃるい） にほんかぼちゃ かじつ ゆで,50.0,1.9,0.1,13.3,0.0
（かぼちゃ類）　西洋かぼちゃ　果実　生,（かぼちゃるい） せいようかぼちゃ かじつ なま,78.0,1.9,0.3,20.6,0.0
（かぼちゃ類）　西洋かぼちゃ　果実　ゆで,（かぼちゃるい） せいようかぼちゃ かじつ ゆで,80.0,1.6,0.3,21.3,0.0
（かぼちゃ類）　西洋かぼちゃ　果実　焼き,（かぼちゃるい） せいようかぼちゃ かじつ やき,105.0,2.5,0.4,27.7,0.0
（かぼちゃ類）　西洋かぼちゃ　果実　冷凍,（かぼちゃるい） せいようかぼちゃ かじつ れいとう,75.0,2.2,0.3,18.5,0.0
（かぼちゃ類）　そうめんかぼちゃ　果実　生,（かぼちゃるい） そうめんかぼちゃ かじつ なま,25.0,0.7,0.1,6.1,0.0
からしな　葉　生,からしな は なま,26.0,3.3,0.1,4.7,0.0
からしな　塩漬,からしな しおづけ,36.0,4.0,0.1,7.2,0.0
カリフラワー　花序　生,かりふらわー かじょ なま,28.0,3.0,0.1,5.2,0.0
カリフラワー　花序　ゆで,かりふらわー かじょ ゆで,26.0,2.7,0.1,5.1,0.0
かんぴょう　乾,かんぴょう いぬい,239.0,6.3,0.2,68.1,0.0
かんぴょう　ゆで,かんぴょう ゆで,21.0,0.7,0.0,7.2,0.0
かんぴょう　甘煮,かんぴょう うまに,146.0,2.3,0.2,36.5,0.0
きく　花びら　生,きく はなびら なま,25.0,1.4,0.0,6.5,0.0
きく　花びら　ゆで,きく はなびら ゆで,21.0,1.0,0.0,5.7,0.0
きく　菊のり,きく きくのり,283.0,11.6,0.2,73.5,0.0
（キャベツ類）　キャベツ　結球葉　生,（きゃべつるい） きゃべつ けっきゅうば なま,21.0,1.3,0.2,5.2,0.0
（キャベツ類）　キャベツ　結球葉　ゆで,（きゃべつるい） きゃべつ けっきゅうば ゆで,19.0,0.9,0.2,4.6,0.0
（キャベツ類）　キャベツ　結球葉　油いため,（きゃべつるい） きゃべつ けっきゅうば あぶらいため,78.0,1.6,6.0,5.9,0.0
（キャベツ類）　グリーンボール　結球葉　生,（きゃべつるい） ぐりーんぼーる けっきゅうば なま,20.0,1.4,0.1,4.3,0.0
（キャベツ類）　レッドキャベツ　結球葉　生,（きゃべつるい） れっどきゃべつ けっきゅうば なま,30.0,2.0,0.1,6.7,0.0
きゅうり　果実　生,きゅうり かじつ なま,13.0,1.0,0.1,3.0,0.0
きゅうり　漬物　塩漬,きゅうり つけもの しおづけ,17.0,1.0,0.1,3.7,0.0
きゅうり　漬物　しょうゆ漬,きゅうり つけもの しょうゆづけ,51.0,3.2,0.4,10.8,0.0
きゅうり　漬物　ぬかみそ漬,きゅうり つけもの ぬかみそづけ,28.0,1.5,0.1,6.2,0.0
きゅうり　漬物　ピクルス　スイート型,きゅうり つけもの ぴくるす すいーとがた,70.0,0.3,0.1,18.3,0.0
きゅうり　漬物　ピクルス　サワー型,きゅうり つけもの ぴくるす さわーがた,13.0,1.4,0.0,2.5,0.0
ぎょうじゃにんにく　葉　生,ぎょうじゃにんにく は なま,35.0,3.5,0.2,6.6,0.0
キンサイ　茎葉　生,きんさい けいよう なま,16.0,1.1,0.4,3.5,0.0
キンサイ　茎葉　ゆで,きんさい けいよう ゆで,15.0,1.1,0.4,3.5,0.0
クレソン　茎葉　生,くれそん けいよう なま,13.0,2.1,0.1,2.5,0.0
くわい　塊茎　生,くわい かいけい なま,128.0,6.3,0.1,26.6,0.0
くわい　塊茎　ゆで,くわい かいけい ゆで,129.0,6.2,0.1,27.2,0.0
ケール　葉　生,けーる は なま,26.0,2.1,0.4,5.6,0.0
コールラビ　球茎　生,こーるらび きゅうけい なま,21.0,1.0,0.0,5.1,0.0
コールラビ　球茎　ゆで,こーるらび きゅうけい ゆで,20.0,1.0,0.0,5.2,0.0
こごみ　若芽　生,こごみ わかめ なま,25.0,3.0,0.2,5.3,0.0
ごぼう　根　生,ごぼう ね なま,58.0,1.8,0.1,15.4,0.0
ごぼう　根　ゆで,ごぼう ね ゆで,50.0,1.5,0.2,13.7,0.0
こまつな　葉　生,こまつな は なま,13.0,1.5,0.2,2.4,0.0
こまつな　葉　ゆで,こまつな は ゆで,14.0,1.6,0.1,3.0,0.0
コリアンダー　葉　生,こりあんだー は なま,18.0,1.4,0.4,4.6,0.0
ザーサイ　漬物,ざーさい つけもの,20.0,2.5,0.1,4.6,0.0
さんとうさい　葉　生,さんとうさい は なま,12.0,1.0,0.2,2.7,0.0
さんとうさい　葉　ゆで,さんとうさい は ゆで,14.0,1.4,0.3,2.9,0.0
さんとうさい　塩漬,さんとうさい しおづけ,18.0,1.5,0.3,4.0,0.0
しかくまめ　若ざや　生,しかくまめ わかざや なま,19.0,2.4,0.1,3.8,0.0
ししとう　果実　生,ししとう かじつ なま,24.0,1.9,0.3,5.7,0.0
ししとう　果実　油いため,ししとう かじつ あぶらいため,51.0,1.9,3.2,5.8,0.0
しそ　葉　生,しそ は なま,32.0,3.9,0.1,7.5,0.0
しそ　実　生,しそ み なま,32.0,3.4,0.1,8.9,0.0
じゅうろくささげ　若ざや　生,じゅうろくささげ わかざや なま,22.0,2.5,0.1,4.8,0.0
じゅうろくささげ　若ざや　ゆで,じゅうろくささげ わかざや ゆで,28.0,2.8,0.1,6.2,0.0
しゅんぎく　葉　生,しゅんぎく は なま,20.0,2.3,0.3,3.9,0.0
しゅんぎく　葉　ゆで,しゅんぎく は ゆで,25.0,2.7,0.5,4.5,0.0
じゅんさい　若葉　水煮びん詰,じゅんさい わかば みずにびんづめ,4.0,0.4,0.0,1.0,0.0
（しょうが類）　葉しょうが　根茎　生,（しょうがるい） はしょうが こんけい なま,9.0,0.5,0.2,2.1,0.0
（しょうが類）　しょうが　根茎　皮なし　生,（しょうがるい） しょうが こんけい かわなし なま,28.0,0.9,0.3,6.6,0.0
（しょうが類）　しょうが　根茎　皮なし　生　おろし,（しょうがるい） しょうが こんけい かわなし なま おろし,58.0,0.7,0.8,16.0,0.0
（しょうが類）　しょうが　根茎　皮なし　生　おろし汁,（しょうがるい） しょうが こんけい かわなし なま おろしじる,17.0,0.4,0.3,3.5,0.0
（しょうが類）　しょうが　漬物　酢漬,（しょうがるい） しょうが つけもの すづけ,15.0,0.3,0.2,3.9,0.0
（しょうが類）　しょうが　漬物　甘酢漬,（しょうがるい） しょうが つけもの あまずづけ,44.0,0.2,0.4,10.7,0.0
（しょうが類）　新しょうが　根茎　生,（しょうがるい） しんしょうが こんけい なま,10.0,0.3,0.3,2.7,0.0
しろうり　果実　生,しろうり かじつ なま,15.0,0.9,0.1,3.3,0.0
しろうり　漬物　塩漬,しろうり つけもの しおづけ,15.0,1.0,0.1,3.7,0.0
しろうり　漬物　奈良漬,しろうり つけもの ならづけ,216.0,4.6,0.2,40.0,0.0
ずいき　生ずいき　生,ずいき なまずいき なま,15.0,0.5,0.0,4.1,0.0
ずいき　生ずいき　ゆで,ずいき なまずいき ゆで,10.0,0.4,0.0,3.1,0.0
ずいき　干しずいき　乾,ずいき ほしずいき いぬい,232.0,6.6,0.4,63.5,0.0
ずいき　干しずいき　ゆで,ずいき ほしずいき ゆで,9.0,0.5,0.0,3.4,0.0
すいぜんじな　葉　生,すいぜんじな は なま,16.0,0.6,0.6,3.4,0.0
すぐきな　葉　生,すぐきな は なま,23.0,1.9,0.2,5.4,0.0
すぐきな　根　生,すぐきな ね なま,19.0,0.6,0.1,4.7,0.0
すぐきな　すぐき漬,すぐきな すぐきづけ,30.0,2.6,0.7,6.1,0.0
ズッキーニ　果実　生,ずっきーに かじつ なま,16.0,1.3,0.1,2.8,0.0
せり　茎葉　生,せり けいよう なま,17.0,2.0,0.1,3.3,0.0
せり　茎葉　ゆで,せり けいよう ゆで,17.0,2.1,0.1,3.4,0.0
セロリ　葉柄　生,せろり ようへい なま,12.0,0.4,0.1,3.6,0.0
ぜんまい　生ぜんまい　若芽　生,ぜんまい なまぜんまい わかめ なま,27.0,1.7,0.1,6.6,0.0
ぜんまい　生ぜんまい　若芽　ゆで,ぜんまい なまぜんまい わかめ ゆで,17.0,1.1,0.4,4.1,0.0
ぜんまい　干しぜんまい　干し若芽　乾,ぜんまい ほしぜんまい ほしわかめ いぬい,277.0,14.6,0.6,70.8,0.0
ぜんまい　干しぜんまい　干し若芽　ゆで,ぜんまい ほしぜんまい ほしわかめ ゆで,25.0,1.7,0.1,6.8,0.0
そらまめ　未熟豆　生,そらまめ みじゅくまめ なま,102.0,10.9,0.2,15.5,0.0
そらまめ　未熟豆　ゆで,そらまめ みじゅくまめ ゆで,103.0,10.5,0.2,16.9,0.0
タアサイ　葉　生,たあさい は なま,12.0,1.3,0.2,2.2,0.0
タアサイ　葉　ゆで,たあさい は ゆで,11.0,1.1,0.2,2.3,0.0
（だいこん類）　かいわれだいこん　芽ばえ　生,（だいこんるい） かいわれだいこん めばえ なま,21.0,2.1,0.5,3.3,0.0
（だいこん類）　葉だいこん　葉　生,（だいこんるい） はだいこん は なま,17.0,2.0,0.2,3.3,0.0
（だいこん類）　だいこん　葉　生,（だいこんるい） だいこん は なま,23.0,2.2,0.1,5.3,0.0
（だいこん類）　だいこん　葉　ゆで,（だいこんるい） だいこん は ゆで,24.0,2.2,0.1,5.4,0.0
（だいこん類）　だいこん　根　皮つき　生,（だいこんるい） だいこん ね かわつき なま,15.0,0.5,0.1,4.1,0.0
（だいこん類）　だいこん　根　皮つき　ゆで,（だいこんるい） だいこん ね かわつき ゆで,15.0,0.4,0.0,4.5,0.0
（だいこん類）　だいこん　根　皮なし　生,（だいこんるい） だいこん ね かわなし なま,15.0,0.4,0.1,4.1,0.0
（だいこん類）　だいこん　根　皮なし　生　おろし,（だいこんるい） だいこん ね かわなし なま おろし,25.0,0.6,0.2,8.0,0.0
（だいこん類）　だいこん　根　皮なし　生　おろし汁,（だいこんるい） だいこん ね かわなし なま おろしじる,12.0,0.3,0.0,2.7,0.0
（だいこん類）　だいこん　根　皮なし　生　おろし水洗い,（だいこんるい） だいこん ね かわなし なま おろしみずあらい,23.0,0.6,0.1,7.2,0.0
（だいこん類）　だいこん　根　皮なし　ゆで,（だいこんるい） だいこん ね かわなし ゆで,15.0,0.5,0.1,4.0,0.0
（だいこん類）　切干しだいこん　乾,（だいこんるい） きりぼしだいこん いぬい,280.0,9.7,0.8,69.7,0.0
（だいこん類）　切干しだいこん　ゆで,（だいこんるい） きりぼしだいこん ゆで,13.0,0.9,0.1,4.1,0.0
（だいこん類）　切干しだいこん　油いため,（だいこんるい） きりぼしだいこん あぶらいため,78.0,1.5,6.0,7.6,0.0
（だいこん類）　漬物　いぶりがっこ,（だいこんるい） つけもの いぶりがっこ,76.0,1.1,0.3,21.0,0.0
（だいこん類）　漬物　ぬかみそ漬,（だいこんるい） つけもの ぬかみそづけ,29.0,1.3,0.1,6.7,0.0
（だいこん類）　漬物　たくあん漬　塩押しだいこん漬,（だいこんるい） つけもの たくあんづけ しおおしだいこんづけ,43.0,0.6,0.3,10.8,0.0
（だいこん類）　漬物　たくあん漬　干しだいこん漬,（だいこんるい） つけもの たくあんづけ ほしだいこんづけ,23.0,1.9,0.1,5.5,0.0
（だいこん類）　漬物　守口漬,（だいこんるい） つけもの もりぐちづけ,194.0,5.3,0.2,44.3,0.0
（だいこん類）　漬物　べったら漬,（だいこんるい） つけもの べったらづけ,53.0,0.4,0.2,13.1,0.0
（だいこん類）　漬物　みそ漬,（だいこんるい） つけもの みそづけ,52.0,2.1,0.3,11.4,0.0
（だいこん類）　漬物　福神漬,（だいこんるい） つけもの ふくじんづけ,137.0,2.7,0.1,33.3,0.0
